Date : 2021-01-26 20:57:40
Directory : c:\Thinkful\Projects\gift-closet\gift-closet-client
Total : 57 files,  20524 codes, 7 comments, 430 blanks, all 20961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     17,189 |          0 |          4 |     17,193 |
| JavaScript |         35 |      1,649 |          7 |        152 |      1,808 |
| CSS        |         16 |      1,624 |          0 |        237 |      1,861 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         24 |          0 |          4 |         28 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         57 |     20,524 |          7 |        430 |     20,961 |
| public                                                                                               |          2 |         49 |          0 |          5 |         54 |
| src                                                                                                  |         51 |      3,273 |          7 |        389 |      3,669 |
| src\components                                                                                       |         18 |      1,070 |          1 |        109 |      1,180 |
| src\components\AddGiftForm                                                                           |          1 |        119 |          0 |          8 |        127 |
| src\components\AddTagForm                                                                            |          1 |         63 |          0 |          6 |         69 |
| src\components\App                                                                                   |          2 |         90 |          0 |          7 |         97 |
| src\components\EditGiftForm                                                                          |          1 |        142 |          0 |          8 |        150 |
| src\components\EditTagForm                                                                           |          1 |         70 |          0 |          8 |         78 |
| src\components\Footer                                                                                |          2 |         42 |          0 |          6 |         48 |
| src\components\GiftOptionsBar                                                                        |          2 |         58 |          0 |          7 |         65 |
| src\components\Header                                                                                |          2 |        159 |          0 |         23 |        182 |
| src\components\LoginForm                                                                             |          1 |         55 |          1 |          6 |         62 |
| src\components\RegisterForm                                                                          |          1 |        116 |          0 |          7 |        123 |
| src\components\TagOptionsBar                                                                         |          2 |        115 |          0 |         17 |        132 |
| src\components\utilities                                                                             |          2 |         41 |          0 |          6 |         47 |
| src\contexts                                                                                         |          1 |          9 |          0 |          4 |         13 |
| src\routes                                                                                           |         22 |      1,911 |          2 |        250 |      2,163 |
| src\routes\AddGiftPage                                                                               |          2 |        183 |          0 |         27 |        210 |
| src\routes\AddTagPage                                                                                |          2 |        143 |          0 |         18 |        161 |
| src\routes\EditGiftPage                                                                              |          2 |        156 |          0 |         23 |        179 |
| src\routes\EditTagPage                                                                               |          2 |        128 |          0 |         17 |        145 |
| src\routes\ErrorBoundary                                                                             |          1 |         21 |          0 |          4 |         25 |
| src\routes\GiftDetailPage                                                                            |          2 |        281 |          0 |         34 |        315 |
| src\routes\GiftListPage                                                                              |          2 |        325 |          2 |         44 |        371 |
| src\routes\Homepage                                                                                  |          2 |        195 |          0 |         22 |        217 |
| src\routes\LoginPage                                                                                 |          2 |        145 |          0 |         17 |        162 |
| src\routes\NotFoundPage                                                                              |          1 |          4 |          0 |          2 |          6 |
| src\routes\RegisterPage                                                                              |          2 |        113 |          0 |         14 |        127 |
| src\routes\TagListPage                                                                               |          2 |        217 |          0 |         28 |        245 |
